replicate,uav_estimate_x_m,uav_estimate_y_m,uav_error_xy_m,target_raw_x_m,target_raw_y_m,target_raw_error_xy_m,target_bias_corrected_x_m,target_bias_corrected_y_m,target_bias_corrected_error_xy_m
80,0.9928074974427143,3.7730238615185687,0.017795809036019405,0.8410286246059147,4.711726786842819,0.15823248182938096,0.956670421122525,4.8460128379557945,0.05143261722489957
81,0.9965213608061925,3.7912624236487886,0.011880955058423185,0.7646003542851155,4.7094394674199265,0.20372901154769585,0.8802421508017259,4.843725518532902,0.02867735692042896
82,0.9684820613236363,3.8172026878893734,0.03266018652386053,0.7674863644754892,4.732981510598837,0.18534856174441267,0.8831281609920996,4.867267561711812,0.025713670062380702
83,1.0082890929268564,3.7683473190639885,0.03119369287157467,0.8090778567629469,4.7284061290188415,0.16028473338503743,0.9247196532795572,4.862692180131817,0.019720780159482882
84,0.9928738529941363,3.7686017821460096,0.021866843402239294,0.7837408467179658,4.699493891073876,0.1986549124969103,0.8993826432345762,4.833779942186852,0.023161010946912478
85,0.989713841696536,3.7760482696902002,0.013782099292514016,0.9047856523581603,4.714721608739051,0.14120036853310067,1.0204274488747707,4.849007659852027,0.11443609550628078
86,1.0113824826128934,3.786838026358425,0.026598903499265907,0.8030168305118175,4.7361275090196635,0.15810055020240177,0.9186586270284278,4.870413560132639,0.019116189948956502
87,0.9805564959154788,3.796151748133886,0.00839330744374346,0.7661606501593816,4.663425242596714,0.23804051179096047,0.881802446675992,4.79771129370969,0.06311021827224529
88,0.9945247220184944,3.796988141817978,0.012564589935451074,0.7761155256513702,4.713282545837031,0.1930439253118088,0.8917573221679805,4.847568596950007,0.016680875606913326
89,1.0012582277640434,3.7894405024933446,0.016397985051952516,0.7362317164235131,4.731200712444091,0.210814715823093,0.8518735129401235,4.865486763557066,0.055163283898042904
90,0.9840464544519971,3.8201823940186523,0.031242980414166795,0.8743309225267542,4.772288251497674,0.08949331467295785,0.9899727190433645,4.906574302610649,0.09789915308878946
91,0.9650462336928975,3.7722389951155524,0.02592585775424002,0.7444788002360049,4.698322235638383,0.22580786589903812,0.8601205967526152,4.832608286751358,0.051638254494373065
92,0.9867682544026698,3.8068251832987547,0.017975745029878115,0.8056933158830972,4.743070724325689,0.15111386466908214,0.9213351123997076,4.877356775438664,0.026245493392297054
93,0.9803179928484025,3.787296528563137,0.004840799410588197,0.8173244360579882,4.725273885935081,0.1580061351788694,0.9329662325745985,4.859559937048057,0.027013284654992257
94,0.9777445350608549,3.7890389614589646,0.007123592126878583,0.780618270721784,4.680348750586978,0.2158569927219236,0.8962600672383944,4.814634801699953,0.04245996057448434
95,0.9949897732724539,3.798480621907672,0.013902796349913751,0.7701085925085731,4.729645034241588,0.18564737698036343,0.8857503890251834,4.863931085354563,0.021964651579171178
