frame_seq,sample_timestamp_ns,tag_id,anchor_id,anchor_x_m,anchor_y_m,anchor_z_m,range_m,stddev_m
52,2395538995515,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,31.354789073431924,0.05
52,2395538995515,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.795966557386343,0.05
52,2395538995515,carla_uav_uwb_tag,A3,15.0,12.0,0.5,7.672642664361217,0.05
52,2395538995515,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,24.438784114431556,0.05
53,2395638995517,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,31.49314850883881,0.05
53,2395638995517,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.794947510523723,0.05
53,2395638995517,carla_uav_uwb_tag,A3,15.0,12.0,0.5,7.521036090016075,0.05
53,2395638995517,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,24.64103248905016,0.05
54,2395738995518,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,31.610129928635654,0.05
54,2395738995518,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.892854134368,0.05
54,2395738995518,carla_uav_uwb_tag,A3,15.0,12.0,0.5,7.441772198241652,0.05
54,2395738995518,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,24.64076429672484,0.05
55,2395838995520,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,31.662311934841238,0.05
55,2395838995520,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.845266122230566,0.05
55,2395838995520,carla_uav_uwb_tag,A3,15.0,12.0,0.5,7.37191850971203,0.05
55,2395838995520,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,24.704864542725428,0.05
56,2395938995521,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,31.76698873750311,0.05
56,2395938995521,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.85200706031621,0.05
56,2395938995521,carla_uav_uwb_tag,A3,15.0,12.0,0.5,7.404059878321098,0.05
56,2395938995521,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,24.935315584026693,0.05
57,2396038995523,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,31.807393839885357,0.05
57,2396038995523,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.833977963712975,0.05
57,2396038995523,carla_uav_uwb_tag,A3,15.0,12.0,0.5,7.121655570841372,0.05
57,2396038995523,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,24.893128508343043,0.05
58,2396138995524,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,31.95206686906369,0.05
58,2396138995524,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.916658864163658,0.05
58,2396138995524,carla_uav_uwb_tag,A3,15.0,12.0,0.5,7.0765479169002115,0.05
58,2396138995524,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,24.969959237213676,0.05
59,2396238995525,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,31.91377825353761,0.05
59,2396238995525,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.856503679912308,0.05
59,2396238995525,carla_uav_uwb_tag,A3,15.0,12.0,0.5,6.979596387374823,0.05
59,2396238995525,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,25.054989692660577,0.05
60,2396338995527,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,32.06075481890175,0.05
60,2396338995527,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.868432609096796,0.05
60,2396338995527,carla_uav_uwb_tag,A3,15.0,12.0,0.5,6.8661056084243235,0.05
60,2396338995527,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,25.08566250837245,0.05
61,2396438995528,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,32.293122297460116,0.05
61,2396438995528,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.81749435848782,0.05
61,2396438995528,carla_uav_uwb_tag,A3,15.0,12.0,0.5,6.821973716398371,0.05
61,2396438995528,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,25.327182690585524,0.05
62,2396538995530,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,32.41255712830773,0.05
62,2396538995530,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.832206228119333,0.05
62,2396538995530,carla_uav_uwb_tag,A3,15.0,12.0,0.5,6.782784884514958,0.05
62,2396538995530,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,25.32747172199899,0.05
63,2396638995531,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,32.43297214400289,0.05
63,2396638995531,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.850533781416036,0.05
63,2396638995531,carla_uav_uwb_tag,A3,15.0,12.0,0.5,6.7148665044445615,0.05
63,2396638995531,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,25.423063846148967,0.05
64,2396738995533,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,32.44606298840858,0.05
64,2396738995533,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.890327873883095,0.05
64,2396738995533,carla_uav_uwb_tag,A3,15.0,12.0,0.5,6.647947756568482,0.05
64,2396738995533,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,25.387951680401788,0.05
65,2396838995534,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,32.48875233844493,0.05
65,2396838995534,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.905218078054983,0.05
65,2396838995534,carla_uav_uwb_tag,A3,15.0,12.0,0.5,6.595328247435101,0.05
65,2396838995534,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,25.500122903480072,0.05
66,2396938995536,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,32.59912058048295,0.05
66,2396938995536,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.978697631860314,0.05
66,2396938995536,carla_uav_uwb_tag,A3,15.0,12.0,0.5,6.522138621789045,0.05
66,2396938995536,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,25.61535956749845,0.05
67,2397038995537,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,32.65159461901823,0.05
67,2397038995537,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.93770709764145,0.05
67,2397038995537,carla_uav_uwb_tag,A3,15.0,12.0,0.5,6.410528135440562,0.05
67,2397038995537,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,25.682119316363057,0.05
68,2397138995539,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,32.71600806627347,0.05
68,2397138995539,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,21.05208733444821,0.05
68,2397138995539,carla_uav_uwb_tag,A3,15.0,12.0,0.5,6.459065535522303,0.05
68,2397138995539,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,25.75279231742383,0.05
69,2397238995540,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,32.75317009635172,0.05
69,2397238995540,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.90160500088208,0.05
69,2397238995540,carla_uav_uwb_tag,A3,15.0,12.0,0.5,6.375316143927376,0.05
69,2397238995540,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,25.812492133124035,0.05
